crossing time (s)	slope (V/s)	crossing number
4829.820262	-15.468923	35
4830.841736	-15.695075	36
4831.896604	-15.951033	37
4832.913261	-16.109430	38
4833.963240	-15.117443	39
4834.986571	-15.593502	40
4836.024269	-15.507024	41
4837.057674	-15.978548	42
4838.097132	-15.495612	43
4839.125158	-15.345877	44
4840.170924	-15.413648	45
4841.189519	-15.778238	46
4842.243860	-15.486901	47
4843.261059	-15.739306	48
4844.309138	-15.175543	49
4845.336981	-15.625370	50
4846.375438	-15.267041	51
4847.408035	-15.564967	52
4848.442089	-15.054844	53
4849.477789	-15.447089	54
4850.515421	-15.457583	55
4851.548551	-15.275355	56
4852.585139	-15.097862	57
4853.613242	-15.360556	58
4854.656008	-15.332943	59
4855.685308	-15.048901	60
4856.728442	-15.255055	61
4857.753812	-15.168701	62
4858.796697	-15.263081	63
4859.824100	-15.070934	64
4860.866027	-15.410885	65
4861.894998	-15.219036	66
4862.934114	-15.258650	67
4863.966987	-15.366415	68
4865.002252	-14.910065	69
4866.037854	-15.172500	70
4867.073303	-14.615581	71
4868.102454	-15.390970	72
4869.147577	-14.824432	73
4870.168876	-15.339931	74
4871.221914	-14.772107	75
4872.235573	-15.045953	76
4873.290434	-14.965967	77
4874.308282	-14.943762	78
4875.354167	-14.916706	79
4876.386551	-14.540812	80
4877.418193	-14.948011	81
4878.455371	-15.057218	82
4879.490373	-14.706962	83
4880.521845	-15.111096	84
4881.567297	-14.424280	85
4882.584949	-15.110853	86
4883.639738	-14.472397	87
4884.654849	-14.816082	88
4885.708907	-14.699359	89
4886.727592	-15.157628	90
4887.777987	-14.938378	91
4888.797776	-14.658339	92
4889.843954	-14.896951	93
4890.872919	-14.947933	94
4891.911537	-14.531072	95
4892.946066	-14.785699	96
4893.978929	-14.632817	97
4895.013098	-14.642281	98
4896.048765	-14.568350	99
4897.081675	-14.866133	100
4898.117933	-14.618549	101
4899.154048	-14.666137	102
4900.189406	-14.696264	103
4901.223350	-14.766442	104
4902.257997	-14.327491	105
4903.291915	-14.659966	106
4904.329520	-14.483356	107
4905.360241	-14.445621	108
4906.403357	-14.345424	109
4907.426032	-14.399004	110
4908.476302	-14.288077	111
4909.492619	-14.432785	112
4910.547660	-14.204856	113
4911.561878	-14.340770	114
4912.617377	-14.285989	115
4913.635953	-14.251679	116
4914.682014	-13.972309	117
4915.708851	-14.486814	118
4916.748379	-14.111786	119
4917.780420	-14.668384	120
4918.818192	-14.124887	121
4919.849868	-14.456749	122
4920.888421	-14.350375	123
4921.916835	-14.304494	124
4922.962775	-14.022580	125
4923.983046	-14.170484	126
4925.033628	-14.123631	127
4926.048914	-14.419139	128
4927.106198	-13.767979	129
4928.118951	-14.329879	130
4929.174326	-13.933554	131
4930.190226	-14.337523	132
4931.242287	-13.718475	133
4932.262471	-14.189276	134
4933.309849	-13.824660	135
4934.332927	-14.172321	136
4935.378139	-13.528648	137
4936.406204	-14.171024	138
4937.446306	-13.609038	139
4938.475376	-14.008828	140
4939.518860	-13.556741	141
4940.544375	-14.206558	142
4941.589137	-13.432190	143
4942.610084	-13.888097	144
4943.660535	-13.359732	145
4944.677702	-14.068940	146
4945.732004	-13.617306	147
4946.746903	-14.021584	148
4947.803858	-13.652167	149
4948.814207	-13.877339	150
4949.871894	-13.596935	151
4950.889298	-13.749493	152
4951.938971	-13.681282	153
4952.957846	-13.665332	154
4954.006294	-13.773211	155
4955.034017	-13.725007	156
4956.072399	-13.665935	157
4957.105555	-13.772858	158
4958.141385	-13.551287	159
4959.173547	-13.804001	160
4960.212028	-13.393577	161
4961.241258	-14.116347	162
4962.284493	-13.244672	163
4963.304964	-14.122505	164
4964.357549	-13.352758	165
4965.371942	-13.776874	166
4966.429454	-13.322465	167
4967.443357	-13.848291	168
4968.498033	-13.245692	169
4969.514666	-13.614444	170
4970.568225	-13.483162	171
4971.581936	-13.439901	172
4972.634609	-13.648334	173
4973.652907	-13.331248	174
4974.705249	-13.661874	175
4975.726457	-13.565271	176
4976.776142	-13.417432	177
4977.795388	-13.420735	178
